17:52:17.144 [main] INFO  c.e.e.ElasticSearchProjectApplication - Starting ElasticSearchProjectApplication using Java 19.0.2 with PID 15040 (C:\Users\user\IdeaProjects\MKBank Projects\elastic_search_project\target\classes started by user in C:\Users\user\IdeaProjects\MKBank Projects\elastic_search_project)
12:06:35.555 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1306 ms
12:06:36.219 [main] WARN  org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/customer] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
12:06:36.627 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
12:06:36.639 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
12:06:36.645 [main] INFO  c.e.e.ElasticSearchProjectApplication - Started ElasticSearchProjectApplication in 2.999 seconds (process running for 4.966)
12:15:57.376 [main] INFO  c.e.e.ElasticSearchProjectApplication - Starting ElasticSearchProjectApplication using Java 19.0.2 with PID 16216 (C:\Users\user\IdeaProjects\MKBank Projects\elastic_search_project\target\classes started by user in C:\Users\user\IdeaProjects\MKBank Projects\elastic_search_project)
12:15:57.379 [main] INFO  c.e.e.ElasticSearchProjectApplication - No active profile set, falling back to 1 default profile: "default"
12:15:58.866 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
12:15:58.935 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 1 Elasticsearch repository interfaces.
12:15:58.944 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
12:15:58.947 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Reactive Elasticsearch repository interfaces.
12:15:59.465 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
12:15:59.589 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
12:15:59.655 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
12:15:59.656 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
12:15:59.792 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:15:59.792 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2237 ms
12:16:00.536 [main] WARN  org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/customer] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
12:16:01.267 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
12:16:01.279 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
12:16:01.285 [main] INFO  c.e.e.ElasticSearchProjectApplication - Started ElasticSearchProjectApplication in 4.516 seconds (process running for 6.124)
12:28:23.376 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
12:28:23.431 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
12:28:23.988 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 538 ms
12:28:27.612 [http-nio-8081-exec-1] WARN  org.elasticsearch.client.RestClient - request [POST http://localhost:9200/customer/_search?search_type=query_then_fetch&typed_keys=true] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
12:28:33.182 [http-nio-8081-exec-1] WARN  org.elasticsearch.client.RestClient - request [POST http://localhost:9200/customer/_search?search_type=query_then_fetch&typed_keys=true] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
12:28:36.205 [http-nio-8081-exec-1] INFO  c.e.e.ElasticSearchProjectApplication - Getting all Customers data
15:00:59.057 [http-nio-8081-exec-5] WARN  org.elasticsearch.client.RestClient - request [POST http://localhost:9200/customer/_search?search_type=query_then_fetch&typed_keys=true] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
15:00:59.130 [http-nio-8081-exec-5] WARN  org.elasticsearch.client.RestClient - request [POST http://localhost:9200/customer/_search?search_type=query_then_fetch&typed_keys=true] returned 1 warnings: [299 Elasticsearch-7.17.9-ef48222227ee6b9e70e502f0f0daa52435ee634d "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
15:00:59.178 [http-nio-8081-exec-5] INFO  c.e.e.ElasticSearchProjectApplication - Getting all Customers data
